sample bin completeness_checkm2 contamination_checkm2 bakta_trna_all bakta_trna_uniq bakta_16s bakta_23s bakta_5s barrnap_16s barrnap_23s barrnap_5s custom_trna_uniq operon mimag
NP-RASK00000025MP NP-RASK00000025MP.bin.1.50 97.36 0.08 62 21 3 4 3 3 4 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.51 95.21 1 43 18 4 4 4 4 4 4 19 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.53 99.82 2.34 70 21 5 6 4 5 6 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.54 99.5 1.81 43 22 3 5 3 3 5 2 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.55 100 1.53 56 21 5 5 5 5 5 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.56 99.83 0.68 56 22 6 6 6 6 6 6 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.57 99.99 1.18 52 21 3 3 3 3 3 1 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.58 97.2 1.39 61 21 4 4 5 4 4 5 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.60 98.39 0.08 73 21 5 5 5 5 5 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.61 100 0.38 52 21 5 5 5 5 5 5 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.62 91.8 2.11 52 22 3 3 3 3 3 3 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.63 94.98 0.48 66 21 5 5 5 5 5 2 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.64 99.35 3.23 59 21 4 4 4 4 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.67 97.35 3.52 61 20 4 4 4 4 4 3 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.7 95.98 0.12 61 21 4 3 4 4 3 4 20 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.70 95.99 2.21 57 21 4 4 4 4 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.71 100 0.18 60 22 4 4 5 4 4 5 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.73 94.8 1.04 41 18 4 2 4 4 2 0 16 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.75 93.69 0.62 62 21 3 4 4 3 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.77 99.99 2.43 59 21 4 4 5 4 4 5 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.78 95.17 0.51 76 21 4 6 6 4 6 6 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.79 99.99 0.81 48 21 2 2 2 2 2 2 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.81 90.46 1.72 45 19 1 1 1 1 1 1 19 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.82 94.39 1.19 59 20 2 2 2 2 2 2 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.83 93.85 4.03 57 21 6 6 6 6 6 6 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.85 90.85 1.18 54 21 4 4 4 4 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.88 97.3 0.8 76 21 7 7 6 7 7 6 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.9 95.18 1.45 60 21 4 4 5 4 4 5 19 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.1.93 94.47 0.53 60 21 4 4 4 4 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.1 52.45 3.86 35 16 1 1 4 1 1 4 16 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.10 76.98 3.25 44 20 1 1 1 1 1 1 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.103 87.08 8.11 50 20 1 1 1 1 1 1 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.106 92.17 0.73 46 21 1 1 1 1 1 1 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.111 94.89 7.46 68 21 6 6 6 6 6 4 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.112 89.67 8.68 44 20 3 3 3 3 3 3 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.114 63.84 0.27 34 18 1 1 2 1 1 2 17 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.117 92.99 3.08 40 16 0 1 0 0 1 0 16 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.119 62.32 9.43 55 18 0 5 0 0 5 0 18 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.124 85.99 4.32 75 21 6 6 6 6 6 6 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.128 90.73 8.56 54 20 7 7 7 7 7 7 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.13 74.03 3.13 42 17 2 3 2 2 3 2 16 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.132 82.68 2.65 29 16 0 1 3 0 1 3 16 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.14 55.6 0.21 42 21 3 2 2 3 2 2 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.141 80.23 0.86 42 20 2 1 2 2 1 2 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.147 81.51 0.81 38 19 2 2 3 2 2 3 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.148 93.51 2.1 54 20 4 4 4 4 4 4 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.15 91.59 1.12 46 21 2 2 2 2 2 2 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.150 51.85 3.61 34 12 0 0 0 0 0 0 12 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.152 93.03 7.14 52 21 3 3 3 3 3 3 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.154 86.47 2.62 63 22 5 5 5 5 5 5 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.155 67.61 1.85 62 21 5 5 4 5 5 4 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.16 86.51 2.93 45 21 1 1 2 1 1 2 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.161 95.76 7.94 64 20 5 5 5 5 5 5 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.163 93.6 2.77 59 21 6 6 6 6 6 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.166 99.88 0.05 53 22 5 6 5 5 6 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.167 96.99 2.41 62 22 3 4 4 3 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.170 93.49 0.45 54 22 5 5 5 5 5 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.176 74.55 2.53 42 19 4 4 4 4 4 4 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.179 68.26 2.02 51 19 3 3 3 3 3 3 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.181 100 0.74 60 21 6 6 6 6 6 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.185 70.35 0.34 47 21 4 4 4 4 4 4 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.186 88.6 0.47 55 21 2 4 2 2 4 2 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.190 99.9 0.31 55 21 4 4 4 4 4 0 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.193 87.99 1.87 48 20 4 4 4 4 4 4 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.198 97.04 2.61 68 22 5 5 5 5 5 5 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.201 79.39 3.46 53 20 3 3 3 3 3 3 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.21 97.81 5.2 61 21 2 2 2 2 2 2 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.210 96.46 0.81 62 21 3 3 5 3 3 5 20 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.211 67.81 0.18 43 21 3 2 1 3 2 1 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.215 62.57 2.69 29 16 2 2 1 2 2 1 16 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.218 83.91 2.54 62 21 0 0 0 0 0 0 20 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.219 59.91 5.03 42 20 1 1 1 1 1 1 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.228 57.17 4.43 45 18 0 0 0 0 0 0 18 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.234 89.43 2.44 43 21 1 1 2 1 1 2 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.235 79.83 2.2 47 21 2 2 2 2 2 2 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.237 60.31 4.65 30 16 2 0 1 2 0 1 17 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.241 55.63 0.32 29 17 0 1 2 0 1 2 17 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.244 70.86 5.32 45 17 2 2 3 2 3 3 17 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.249 55.52 2.05 43 21 1 1 1 1 1 0 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.254 57.93 2.77 31 17 0 0 0 0 0 0 17 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.258 50.67 2.58 27 14 0 0 0 0 0 0 13 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.260 70.56 2.77 38 19 2 2 2 2 2 2 18 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.264 50.07 0.61 31 18 1 1 1 1 1 1 18 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.27 85.71 4.4 57 21 6 5 5 6 5 3 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.274 66.9 3.87 40 18 0 0 1 0 0 1 18 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.279 75.78 3 42 21 1 1 2 1 1 2 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.286 72.93 3.23 26 15 1 1 0 1 1 0 15 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.288 64.18 3.67 44 21 1 1 2 1 1 2 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.289 63.97 1.09 45 20 1 1 2 1 1 2 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.292 72.37 8.75 41 20 3 2 2 3 2 2 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.294 86.76 1.84 21 13 1 1 1 1 1 1 14 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.296 73.44 0.2 35 19 1 1 2 1 1 2 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.30 77.12 1.85 43 20 2 2 2 2 2 0 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.34 81.78 3.74 42 20 4 3 4 4 3 4 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.36 62.7 1.34 35 15 0 1 2 0 1 2 15 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.38 98.84 6.57 47 18 1 1 1 1 1 1 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.48 85.16 7.45 64 21 6 6 6 6 6 6 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.52 69.66 2.01 39 20 0 0 2 0 0 2 19 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.53 69.14 0.24 53 21 1 2 2 2 2 2 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.60 77.2 2.07 47 20 1 1 1 1 1 0 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.61 89.47 0.92 47 22 2 2 2 2 2 2 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.64 80.61 1.6 50 21 1 1 1 1 1 1 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.74 84.67 0.79 67 20 6 10 6 6 10 6 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.75 92.49 0.43 48 20 2 2 2 2 2 2 20 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.76 64.8 3.11 47 20 1 1 1 1 1 1 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.8 62.42 2.5 33 15 1 1 1 1 1 1 15 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.85 81.45 2.86 53 21 2 2 5 2 2 5 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.89 95.24 1.81 45 21 3 4 3 3 4 3 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.9 93.78 3.83 55 22 5 5 5 5 5 5 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.93 71.27 3.76 46 19 1 1 1 1 1 1 18 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.94 79.69 1.63 44 21 1 1 2 1 1 2 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.97 95.46 0.33 56 21 8 7 7 8 7 7 20 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.2.99 63.86 3.18 13 9 1 1 1 1 1 1 9 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.106 86.28 2.48 54 21 3 3 3 3 3 3 22 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.113 50.73 5.95 32 16 0 1 0 0 1 0 16 0 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.2 85.85 2.51 62 20 8 8 8 8 8 8 20 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.25 91.34 5.54 26 19 2 2 2 2 2 2 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.56 64.66 5.86 48 20 2 4 2 2 4 2 21 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.84 51.45 7.17 26 14 1 1 1 1 1 1 14 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.3.96 81.29 8.36 47 18 1 1 1 1 1 1 17 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.4.101 73.59 5.11 28 15 1 1 1 1 1 0 15 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.4.83 66.62 7.66 46 19 1 1 2 1 1 2 19 1 MQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.1 100 0.67 88 22 7 7 8 7 7 8 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.2 99.99 3.79 57 21 4 4 4 4 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.3 99.61 0.07 48 21 3 3 3 3 3 3 21 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.4 99.99 0.04 69 21 6 6 6 6 6 6 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.5 100 0.86 62 21 4 4 4 4 4 4 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.6 90.98 1.38 39 21 1 1 1 1 1 1 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.c.7 100 0.18 35 20 2 2 2 2 2 2 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.s.1 99.98 0.04 86 22 8 8 9 8 8 9 22 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.s.2 94.09 1.23 31 17 1 1 1 1 1 1 18 1 HQ
NP-RASK00000025MP NP-RASK00000025MP.bin.s.4 92.29 4.75 35 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.102 98.79 1.01 77 21 7 7 6 7 7 6 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.104 94.06 0.13 66 21 9 8 6 9 8 6 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.14 99.07 0 50 20 4 2 2 4 2 2 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.15 99.99 0.43 67 21 6 6 7 6 6 1 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.16 95.72 1.01 57 22 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.18 99.96 1.55 51 21 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.19 98.37 1.65 57 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.20 95.76 0.48 61 21 8 8 6 8 8 2 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.21 100 1.7 62 21 4 5 5 4 5 5 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.22 98.16 0.06 64 22 5 5 6 5 5 6 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.23 96.59 0.85 53 21 5 5 6 5 5 6 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.24 99.99 0.03 56 21 3 3 3 3 3 0 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.25 99.99 0.23 74 22 8 8 7 8 8 7 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.26 99.82 0.53 49 21 1 2 2 1 2 2 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.29 96.53 1.46 50 21 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.30 99.86 0.48 61 21 5 5 5 5 5 5 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.31 99.42 1.32 51 22 4 4 3 4 4 3 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.32 99.04 1.49 65 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.33 99.27 0.92 59 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.34 98.36 1.81 80 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.36 99.85 1.71 53 21 4 4 4 4 4 0 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.37 91.3 0.11 43 21 4 4 4 4 4 4 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.38 99.07 0.19 57 22 5 5 5 5 5 3 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.39 95.97 1.51 55 20 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.4 99.74 0.42 89 21 6 7 5 6 8 5 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.40 99.97 3.05 66 21 7 7 7 7 7 7 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.41 98.88 0.42 59 20 4 4 4 4 4 4 18 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.42 99.96 0.1 49 21 2 2 3 2 2 2 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.44 92.62 2.75 50 20 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.48 92.33 2.01 44 21 1 1 1 1 1 1 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.5 99.94 2.61 53 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.52 99.84 0.44 45 21 2 2 2 2 2 2 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.53 93.33 0.3 40 16 1 1 1 1 1 0 16 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.54 100 2.08 56 21 3 3 3 4 3 3 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.6 96.93 0.25 74 21 5 5 5 5 5 5 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.61 99.92 0.15 77 21 9 6 7 9 6 7 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.65 93 0.15 67 21 5 5 5 5 5 5 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.69 91.57 1.1 45 21 3 3 3 4 4 3 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.70 99.47 0.26 90 21 7 6 6 7 6 6 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.75 99.38 0.05 57 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.82 99.95 1.32 81 21 7 7 7 7 7 7 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.89 97.03 0.72 45 21 1 1 1 1 1 1 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.90 92.16 0.76 70 21 5 5 3 5 5 3 19 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.91 99.76 0.75 59 20 4 5 3 4 5 0 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.97 93.6 1.8 48 21 3 3 3 3 3 3 18 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.1.99 95.35 0.75 56 21 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.101 94.36 1.78 63 20 8 8 8 8 8 7 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.102 99.99 6.52 95 21 6 8 4 6 9 4 22 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.106 76.57 2.18 39 18 1 1 2 1 1 2 19 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.109 85.29 5.14 54 20 0 0 0 0 0 0 19 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.11 59 0.46 34 19 0 0 1 0 0 1 19 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.110 93.94 1.63 58 21 4 4 5 4 4 5 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.114 65.69 1.63 46 20 2 2 2 2 2 0 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.122 50.74 4.64 39 20 2 2 3 2 2 3 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.126 93.32 0.96 68 20 6 6 6 6 6 6 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.128 70.62 1.71 42 20 1 1 1 1 1 1 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.130 92.77 0.46 31 13 1 1 1 1 1 1 13 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.137 84.9 0.68 45 20 3 3 3 3 3 3 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.142 89.11 0.54 59 22 5 5 5 5 5 5 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.145 100 6.56 82 21 7 7 7 7 7 4 22 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.147 84.02 3.68 57 21 7 4 4 7 4 4 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.148 98.87 2.03 57 21 3 3 3 4 3 3 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.152 100 0 51 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.154 91.81 1.22 58 21 4 4 3 4 4 3 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.157 89.54 5.44 49 19 1 1 2 1 1 2 18 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.162 77.42 1.23 39 12 0 0 0 0 0 0 12 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.164 83.49 1.16 58 22 4 5 5 4 5 5 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.169 85.65 6.64 49 19 4 4 4 4 4 4 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.170 82.78 9.09 63 21 3 3 3 3 3 3 22 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.175 86.33 9.48 74 21 5 5 5 5 5 5 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.176 91.68 4.99 71 20 7 7 7 7 7 7 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.179 99.01 0.48 49 19 3 3 3 3 3 0 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.184 86.49 1.01 48 21 3 3 3 3 3 1 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.185 99.97 2.12 57 22 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.186 80.42 3.04 47 20 5 5 5 5 5 5 21 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.201 65.71 7.58 50 19 2 1 2 2 1 1 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.202 74.54 2.72 41 21 0 0 2 2 0 2 20 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.204 66.8 5.08 18 11 1 0 0 1 0 0 10 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.205 62.29 3.72 41 17 0 0 0 0 0 0 18 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.215 77.86 3.1 31 14 0 0 0 0 0 0 14 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.216 92.25 4.24 57 21 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.219 69.05 2.69 32 20 1 1 1 1 1 1 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.221 86.05 2.96 44 20 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.223 88.25 4.86 32 14 0 0 0 0 0 0 14 0 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.226 91 0.48 41 21 1 1 1 1 1 0 20 1 HQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.227 83.29 1.07 59 21 2 2 2 2 2 1 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.229 86.8 5.89 43 18 3 3 3 3 3 3 19 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.230 77.8 4.5 37 20 2 1 2 2 1 2 20 1 MQ
NP-DoBa00000008MP NP-DoBa00000008MP.bin.2.231 67.32 1.15 34 15 0 0 0 0 0 0 15 0 MQ
